path,label
단어_106_가렵다_정면_1_이숙기.MOV,0
단어_108_가슴_정면_1_이숙기.MOV,1
단어_113_감전_정면_1_이숙기.MOV,2
단어_120_개_정면_1_이숙기.MOV,3
단어_121_거실_정면_1_이숙기.MOV,4
단어_127_계곡_정면_1_이숙기.MOV,5
단어_152_기절_정면_1_이숙기.MOV,6
단어_180_도둑_정면_1_이숙기.MOV,7
단어_189_동전_정면_1_이숙기.MOV,8
단어_276_아빠_정면_1_이숙기.MOV,9
단어_106_가렵다_정면_2_조희경.MTS,0
단어_108_가슴_정면_2_조희경.MTS,1
단어_113_감전_정면_2_조희경.MTS,2
단어_120_개_정면_2_조희경.MTS,3
단어_121_거실_정면_2_조희경.MTS,4
단어_127_계곡_정면_2_조희경.MTS,5
단어_152_기절_정면_2_조희경.MTS,6
단어_180_도둑_정면_2_조희경.MTS,7
단어_189_동전_정면_2_조희경.MTS,8
단어_276_아빠_정면_2_조희경.MTS,9
단어_106_가렵다_정면_3.MOV,0
단어_108_가슴_정면_3.MOV,1
단어_113_감전_정면_3.MOV,2
단어_120_개_정면_3.MOV,3
단어_121_거실_정면_3.MOV,4
단어_127_계곡_정면_3.MOV,5
단어_152_기절_정면_3.MOV,6
단어_180_도둑_정면_3.MOV,7
단어_189_동전_정면_3.MOV,8
단어_276_아빠_정면_3.MOV,9
단어_106_가렵다_정면_4.MOV,0
단어_108_가슴_정면_4.MOV,1
단어_113_감전_정면_4.MOV,2
단어_120_개_정면_4.MOV,3
단어_121_거실_정면_4.MOV,4
단어_127_계곡_정면_4.MOV,5
단어_152_기절_정면_4.MOV,6
단어_180_도둑_정면_4.MOV,7
단어_189_동전_정면_4.MOV,8
단어_276_아빠_정면_4.MOV,9
단어_106_가렵다_정면_5.MOV,0
단어_108_가슴_정면_5.MOV,1
단어_113_감전_정면_5.MOV,2
단어_120_개_정면_5.MOV,3
단어_121_거실_정면_5.MTS,4
단어_127_계곡_정면_5.MOV,5
단어_152_기절_정면_5.MOV,6
단어_180_도둑_정면_5.MOV,7
단어_189_동전_정면_5.MOV,8
단어_276_아빠_정면_5.MOV,9
단어_106_가렵다_정면_6.MOV,0
단어_108_가슴_정면_6.MOV,1
단어_113_감전_정면_6.MOV,2
단어_120_개_정면_6.MOV,3
단어_121_거실_정면_6.MOV,4
단어_127_계곡_정면_6.MOV,5
단어_152_기절_정면_6.MOV,6
단어_180_도둑_정면_6.MOV,7
단어_189_동전_정면_6.MOV,8
단어_276_아빠_정면_6.MOV,9
단어_106_가렵다_정면_7.MOV,0
단어_108_가슴_정면_7.MOV,1
단어_113_감전_정면_7.MOV,2
단어_120_개_정면_7.MOV,3
단어_121_거실_정면_7.MOV,4
단어_127_계곡_정면_7.MOV,5
단어_152_기절_정면_7.MOV,6
단어_180_도둑_정면_7.MOV,7
단어_189_동전_정면_7.MOV,8
단어_276_아빠_정면_7.MOV,9
단어_106_가렵다_정면_8.MOV,0
단어_108_가슴_정면_8.MOV,1
단어_113_감전_정면_8.MOV,2
단어_120_개_정면_8.MOV,3
단어_121_거실_정면_8.MOV,4
단어_127_계곡_정면_8.MOV,5
단어_152_기절_정면_8.MOV,6
단어_180_도둑_정면_8.MOV,7
단어_189_동전_정면_8.MOV,8
단어_276_아빠_정면_8.MOV,9
